song,artist,album title,cover art,release year 
"""Stay Ready""",Jhene Aiko,"""Chilombo""",https://upload.wikimedia.org/wikipedia/en/2/2b/Jhen%C3%A9_Aiko_-_Trip.png,2014
"""Toxic",Kehlani ,"""It was Good until it wasnt""",https://media.npr.org/assets/img/2017/08/07/kehlani-album-cover_sq-92bf324edecb7c636bd9cc9850af5e89e2a5749b.jpg?s=1100&c=50&f=jpeg,2020
"""LOYAL""",PartNextDoor,"""PartyMobile""",https://media.pitchfork.com/photos/5e7e6f86ab7f1300087975cd/master/pass/partymobile.jpg,2020
"""Session 32""",Sumemer Walker,"""Over it""",,2019
"""Alone Again""",The Weekend,"""After Hours""",https://upload.wikimedia.org/wikipedia/en/3/39/The_Weeknd_-_Starboy.png,2020
"""Who Dat Boy""",TylerThecreator,"""Flower Boy""",https://upload.wikimedia.org/wikipedia/en/c/c3/Tyler%2C_the_Creator_-_Flower_Boy.png,2017
"""Ivy""",Frank Ocean,"""Blonde""",https://upload.wikimedia.org/wikipedia/en/a/a0/Blonde_-_Frank_Ocean.jpeg,2016
"""Clothes off""",Kehlani ,"""While We wait 2""",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Kehlani_-_It_Was_Good_Until_It_Wasn%27t.png/220px-Kehlani_-_It_Was_Good_Until_It_Wasn%27t.png,2024
"""Girls Want Girls""",Drake,"""Certified Lover Boy",https://upload.wikimedia.org/wikipedia/en/7/79/Drake_-_Certified_Lover_Boy.png,2021
"""Looking exotic""",Future,"""'HNDRXX""",https://upload.wikimedia.org/wikipedia/en/8/83/HNDRXX_cover.jpg,2017